antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Congestion=Medium, Weather=Normal",Time=Evening,0.177818853974122,0.25229821318545903,0.1226863832409119,0.6899514899514899,2.7346665727050605,1.0,0.07782300411255486,2.4115638765609804,0.7715145380682196,0.3990700657367324,0.585331323910004,0.5881133829556219
Time=Evening,"Congestion=Medium, Weather=Normal",0.25229821318545903,0.177818853974122,0.1226863832409119,0.48627527595975384,2.7346665727050605,1.0,0.07782300411255486,1.600431335209529,0.8483659104079307,0.3990700657367324,0.3751684449060855,0.5881133829556219
"Congestion=Medium, Weather=Normal","DayType=Weekday, Time=Evening",0.177818853974122,0.18065311152187308,0.08655576093653727,0.4867636867636867,2.6944661105643366,1.0,0.05443223167885855,1.59643202818517,0.764878842939316,0.3183177739508746,0.37360314605013045,0.4829452813081735
"DayType=Weekday, Time=Evening","Congestion=Medium, Weather=Normal",0.18065311152187308,0.177818853974122,0.08655576093653727,0.4791268758526603,2.6944661105643366,1.0,0.05443223167885855,1.5784672080591111,0.767524686432714,0.3183177739508746,0.36647401042331207,0.4829452813081735
Congestion=Medium,Time=Evening,0.25000616142945165,0.25229821318545903,0.16589032655576094,0.663544952681388,2.6300025842578214,1.0,0.10281421874175486,2.222293268516468,0.8263697711354432,0.4931135531135531,0.550014386414639,0.660530901660612
Time=Evening,Congestion=Medium,0.25229821318545903,0.25000616142945165,0.16589032655576094,0.6575168506398359,2.6300025842578214,1.0,0.10281421874175486,2.1898707716619232,0.828902976643901,0.4931135531135531,0.5433520493809385,0.660530901660612
"Time=Evening, Weather=Normal",Congestion=Medium,0.18807147258163895,0.25000616142945165,0.1226863832409119,0.6523391429694666,2.609292263997053,1.0,0.07566735630639199,2.1572570607357155,0.7596165112897917,0.3889974212706104,0.5364483824385037,0.5715362907276356
Congestion=Medium,"Time=Evening, Weather=Normal",0.25000616142945165,0.18807147258163895,0.1226863832409119,0.4907334384858044,2.609292263997053,1.0,0.07566735630639199,1.594309520350727,0.8223458429867864,0.3889974212706104,0.37276922251583033,0.5715362907276356
"DayType=Weekday, Time=Evening",Congestion=Medium,0.18065311152187308,0.25000616142945165,0.11753542821934689,0.6506139154160981,2.6023915238572735,1.0,0.07237103725747676,2.1466047781031308,0.7514986322057078,0.3753640299094844,0.5341480601363143,0.5603720207995317
Congestion=Medium,"DayType=Weekday, Time=Evening",0.25000616142945165,0.18065311152187308,0.11753542821934689,0.47013012618296524,2.6023915238572735,1.0,0.07237103725747676,1.5463171789250454,0.8209908326272144,0.3753640299094844,0.35330214678519517,0.5603720207995317
"DayType=Weekday, Time=Evening, Weather=Normal",Congestion=Medium,0.13355514479359212,0.25000616142945165,0.08655576093653727,0.6480900535154087,2.5922963250579363,1.0,0.053166151847536695,2.1312095496663876,0.7089217833121803,0.29142809725333996,0.5307828832896622,0.49715228227820907
Congestion=Medium,"DayType=Weekday, Time=Evening, Weather=Normal",0.25000616142945165,0.13355514479359212,0.08655576093653727,0.3462145110410094,2.5922963250579363,1.0,0.053166151847536695,1.3252739160455067,0.8189955707706945,0.29142809725333996,0.24543900857574685,0.49715228227820907
"Congestion=Severe, Weather=Normal",Time=Afternoon,0.17998767714109673,0.24882316697473814,0.10881084411583487,0.6045460769546762,2.4296213423569717,1.0,0.0640257402731605,1.8995306134291856,0.7175663265709018,0.34003388786198396,0.47355415441569565,0.5209239893489704
Time=Afternoon,"Congestion=Severe, Weather=Normal",0.24882316697473814,0.17998767714109673,0.10881084411583487,0.43730190174326466,2.4296213423569717,1.0,0.0640257402731605,1.457286465689753,0.7833218549711948,0.34003388786198396,0.31379311923638387,0.5209239893489704
"Congestion=Severe, DayType=Weekday, Weather=Normal",Time=Afternoon,0.17308687615526802,0.24882316697473814,0.10264941466420209,0.5930514025345294,2.383425184017287,1.0,0.059581389977484016,1.8458764514823,0.701930750841109,0.3215223097112861,0.4582519327352777,0.5027955110929382
Time=Afternoon,"Congestion=Severe, DayType=Weekday, Weather=Normal",0.24882316697473814,0.17308687615526802,0.10264941466420209,0.41253961965134706,2.383425184017287,1.0,0.059581389977484016,1.4076066259208253,0.7727018784153314,0.3215223097112861,0.28957424497357553,0.5027955110929382
"Congestion=High, DayType=Weekend",Time=Afternoon,0.10077634011090573,0.24882316697473814,0.0596426370918053,0.5918317437026167,2.378523474716093,1.0,0.034567148989286395,1.84036073711222,0.6445238590325373,0.20569485762855927,0.4566282686680558,0.4157653171761895
Time=Afternoon,"Congestion=High, DayType=Weekend",0.24882316697473814,0.10077634011090573,0.0596426370918053,0.23969889064976227,2.378523474716093,1.0,0.034567148989286395,1.1827204364565262,0.7715508225552398,0.20569485762855927,0.15449165400740297,0.4157653171761895
"DayType=Weekday, Time=Morning",Congestion=Severe,0.1768576709796673,0.24995686999383857,0.10481823783117683,0.592670011148272,2.37108910494391,1.0,0.060611447958699056,1.8413648651810517,0.7024944048561976,0.32552621507845386,0.45692457865938735,0.5060076539669579
Congestion=Severe,"DayType=Weekday, Time=Morning",0.24995686999383857,0.1768576709796673,0.10481823783117683,0.41934529678564386,2.37108910494391,1.0,0.060611447958699056,1.417610715049111,0.7709595053984868,0.32552621507845386,0.2945877246946765,0.5060076539669579
"DayType=Weekday, Time=Morning, Weather=Normal",Congestion=Severe,0.11539125077017869,0.24995686999383857,0.06743068391866913,0.5843656557026912,2.3378659515023363,1.0,0.038587848051481154,1.804574478257373,0.6469068721637394,0.22634017207147586,0.4458527414364898,0.42706746598977985
